Date,Open,High,Low,Close,Adj Close,Volume
5/10/2017,473.575012,475,468.575012,471.825012,420.787201,3364302
5/11/2017,473.424988,474.924988,468.774994,472.049988,420.987854,3229482
5/12/2017,476.5,483,475.725006,482.125,429.973083,10979996
5/15/2017,481.75,481.75,474.549988,475.774994,424.309998,7297164
5/16/2017,476.549988,480.075012,473.475006,477.5,425.848419,6130168
5/17/2017,475.799988,479.225006,471.924988,476.399994,424.86731,2915508
5/18/2017,471.5,486.950012,471.424988,480.875,428.858276,8057848
5/19/2017,480.75,481.350006,473.924988,478.975006,427.163849,4257396
5/22/2017,479.200012,483.450012,478.274994,480.725006,428.724518,5503052
5/23/2017,482.325012,483.5,477.049988,478.649994,426.873962,4039982
5/24/2017,480,482.75,474.799988,477.399994,425.759155,5636286
5/25/2017,480.5,493.299988,480.5,491.649994,438.467743,10438514
5/26/2017,493.5,500,490.299988,497.850006,443.99704,4988004
5/29/2017,495.450012,498.350006,487.850006,492.575012,439.292694,6308434
5/30/2017,491,500,489.325012,498.100006,444.220062,3716910
5/31/2017,496.774994,496.774994,487.424988,488.524994,435.680725,7763900
6/1/2017,484.649994,489.850006,479.274994,485.700012,439.800812,5508606
6/2/2017,486.700012,487.725006,482.100006,484.725006,438.917938,3917966
6/5/2017,485,486,478.524994,479.375,434.073578,5462698
6/6/2017,482.5,493.75,482.200012,489.674988,443.400146,7008686
6/7/2017,492.5,494.450012,472.5,480.649994,435.228058,12455046
6/8/2017,481.475006,481.475006,474.075012,478.225006,433.032196,6195352
6/9/2017,469.274994,475.475006,461.5,474.299988,429.478119,14757662
6/12/2017,471.674988,482.600006,470.049988,481.924988,436.382538,8591676
6/13/2017,476.75,481.475006,475.799988,478.899994,433.643402,4937794
6/14/2017,480,480.950012,475.600006,479.299988,434.005615,7438110
6/15/2017,479.825012,483.975006,474.799988,476.049988,431.062683,5528062
6/16/2017,474.549988,476.924988,468,470.125,425.697693,10948450
6/19/2017,469.975006,470.125,464,464.924988,420.989075,6855860
6/20/2017,467.5,473.450012,467.024994,471.774994,427.191681,5184396
6/21/2017,472.5,474.5,468.024994,471.674988,427.101166,3735864
6/22/2017,473.850006,484.350006,467.549988,470.075012,425.652405,9465242
6/23/2017,472.5,474.575012,469,471.625,427.055878,6403018
6/27/2017,472.5,474,461.875,463.524994,419.721375,6904660
6/28/2017,466.399994,466.5,460.5,462.350006,418.657379,5905224
6/29/2017,465.100006,473.975006,463.299988,465.100006,421.147583,15914040
6/30/2017,465.399994,469,464.5,467.774994,423.569733,4216700
7/3/2017,470.549988,477.5,467.299988,475.950012,430.972198,5088924
7/4/2017,476.924988,485,474.700012,481.075012,435.612885,5167726
7/5/2017,479.5,479.5,472.700012,475.450012,430.51947,4226228
7/6/2017,472.5,478.5,472.100006,473.5,428.753754,3829720
7/7/2017,471.924988,472.725006,466.524994,467.700012,423.501831,5776886
7/10/2017,471.600006,479.899994,470,478.524994,433.303833,1464376
7/11/2017,478.325012,494.75,478.325012,487.674988,441.589111,11539708
7/12/2017,487.475006,490.75,484.375,486.174988,440.230896,6275976
7/13/2017,488.625,491.725006,482.049988,488.524994,442.358795,5170392
7/14/2017,499.725006,503.424988,483.024994,486.024994,440.095032,22478180
7/17/2017,487.5,496,487,492.024994,445.528046,7698250
7/18/2017,493.024994,502.399994,490.549988,492.799988,446.229797,8260180
7/19/2017,490.725006,494.325012,484.549988,489.924988,443.626495,5890278
7/20/2017,489.649994,489.924988,483.475006,484.725006,438.917938,6809740
7/21/2017,486.5,491.274994,485.700012,490.049988,443.739777,5980754
7/24/2017,491.75,497,491.299988,495.274994,448.471008,6129176
7/25/2017,495,499.5,493.100006,496.924988,449.965027,7145614
7/26/2017,499.049988,499.5,495.200012,497.024994,450.055603,6870024
7/27/2017,498,502,483.399994,485.524994,439.642395,12676852
7/28/2017,488,501.5,481.149994,498.674988,451.549683,11098428
7/31/2017,495.950012,510.850006,493.375,505.600006,457.820221,19158248
8/1/2017,505.5,508.5,499.174988,502.774994,455.262207,7689398
8/2/2017,503,506.375,493.600006,496.674988,449.738647,4257584
8/3/2017,495.5,499.375,490.125,492,445.505432,4640348
8/4/2017,494,494.5,488.024994,491.875,445.392273,5349018
8/7/2017,491.75,491.875,482.850006,484.125,438.374664,6073744
8/8/2017,484.25,485.125,477.524994,481.924988,436.382538,6004648
8/9/2017,483.825012,486.950012,482.274994,484.674988,438.87265,3922410
8/10/2017,484.950012,493.75,484.674988,490.625,444.260406,9140684
8/11/2017,488,498.5,484.799988,493.850006,447.180634,6544156
8/14/2017,494,494.600006,488.575012,490.725006,444.350922,3816470
8/16/2017,491,493.049988,484.5,487.600006,441.52124,6178080
8/17/2017,502.5,514.625,499.024994,510.424988,462.18927,25784260
8/18/2017,508.950012,508.950012,442.100006,461.625,418.000946,164404960
8/21/2017,462,462,435,436.700012,395.431366,90407176
8/22/2017,447.600006,448.524994,430,437.700012,396.336853,49242598
8/23/2017,440,451.850006,436.950012,446.399994,404.214722,61284190
8/24/2017,455,459.125,451.174988,456.075012,412.975403,42380524
8/28/2017,471.975006,476.975006,469,470.5,426.037201,40712108
8/29/2017,470.725006,471,462.774994,463.725006,419.902466,13369392
8/30/2017,468.600006,469.5,462.049988,463.325012,419.540344,16149664
8/31/2017,464.399994,464.475006,456.450012,457.475006,414.243134,15022452
9/1/2017,457.975006,462.950012,455,459.975006,416.506836,8433922
9/4/2017,460.5,460.549988,446.75,450.100006,407.565033,10177108
9/5/2017,451,452.5,448.625,450.950012,408.334717,9783392
9/6/2017,450,450.149994,445,447.799988,405.482391,7735910
9/7/2017,450,450.25,446.174988,447.875,405.550323,6241192
9/8/2017,449.5,449.5,441.049988,442.149994,400.366333,8604542
9/11/2017,445.200012,445.899994,436.825012,439.350006,397.830963,13787642
9/12/2017,441.274994,443.875,439.399994,442.024994,400.253113,17241354
9/13/2017,442.75,443.799988,440.5,441.875,400.117279,11478228
9/14/2017,442.25,448.299988,440.799988,446.200012,404.03363,13698006
9/15/2017,446.149994,456.625,446.100006,454.125,411.209625,13459460
